,,,35000,1,155,153,162,2,195,,,
,,,48200256,471352,60132,130259,111290,101,449125,,,
Suburb,lat,lng,price,count,distance_to_nearest_gp,distance_to_nearest_supermarket ,distance_to_nearest_hospital,train_time_to_flinders_st,distance_to_nearest_shopping_center,,,448930
Abbotsford,-37.80409388,144.9967852,803249,449,261,683,918,10,695,,,
Aberfeldie,-37.75925245,144.8967017,1072240,248,404,1610,1672,20,474,,,
Acheron,-37.27047795,145.7155171,815000,5,8510,62750,26073,60,62798,,,
Addington,-37.37813197,143.6695465,595500,2,13244,22141,25410,40,98291,,,
Adelaide Lead,-37.05855347,143.6855215,363667,3,4712,5071,49374,40,95633,,,
Agnes,-38.66913,146.381395,299000,1,15190,28232,15248,80,101766,,,
Aireys Inlet,-38.45840719,144.1067007,698449,187,990,23346,14627,40,9413,,,
Airly,-38.055853,147.08561,439000,1,5740,6004,56596,80,138286,,,
Airport West,-37.72429203,144.8801159,604804,601,583,1109,2169,31,1008,,,
Albanvale,-37.74619147,144.7687625,366086,365,840,799,783,36,877,,,
Albert Park,-37.84429084,144.9529005,1426833,628,311,1172,465,5,486,,,
Alberton,-38.61272955,146.6681264,360429,14,5564,5512,47800,80,118318,,,
Alberton West,-38.6003978,146.6036748,301400,5,7596,7608,44108,80,112819,,,
Albion,-37.78018902,144.8185092,520258,155,1098,1229,1310,28,1389,,,
Alexandra,-37.19462709,145.7066185,346008,384,813,71565,24614,57,72276,,,
Alfredton,-37.55412975,143.7989707,388280,849,1660,1696,4328,40,75995,,,
Allambee,-38.332077,146.07782,751000,1,15261,19842,15261,80,58179,,,
Allans Flat,-36.2765735,146.9098615,835000,2,7211,15367,15409,60,17046,,,
Allansford,-38.38793939,142.5965596,640800,30,10471,6673,10345,40,138903,,,
Allendale,-37.37104826,143.9198693,434000,12,6180,20025,21683,40,56971,,,
Allestree,-38.2778785,141.6490778,953750,4,7870,8548,9092,40,222095,,,
Alma,-37.03483465,143.6860845,834000,7,4671,5067,33948,40,97516,,,
Almurta,-38.4672065,145.6023575,331250,2,9159,15282,43139,67,48600,,,
Alphington,-37.77930983,145.0284178,1079151,311,802,1609,913,21,1719,,,
Altona,-37.86524567,144.8210426,656775,984,486,1223,6274,31,2138,,,
Altona East,-37.83681701,144.8630767,423000,5,218,1541,3795,21,1680,,,
Altona Meadows,-37.87653454,144.7783317,1875082,1472,747,1003,3027,31,922,,,
Altona North,-37.83547974,144.8510224,536811,935,616,829,4572,24,1090,,,
Alvie,-38.2253513,143.4984618,303000,5,14777,14830,31676,40,63590,,,
Amherst,-37.145038,143.654184,250000,1,13124,13193,39888,40,91053,,,
Amphitheatre,-37.18282336,143.4075287,434000,13,27685,33190,27810,40,129856,,,
Ancona,-36.9676556,145.7915358,265667,3,8941,49611,28189,57,85600,,,
Anderson,-38.52895,145.448461,623000,1,6923,14605,41323,101,48916,,,
Anglesea,-38.41080483,144.1789306,711863,527,790,15147,22870,40,1411,,,
Antwerp,-36.30113602,142.0225678,262000,1,17005,48516,18139,40,302386,,,
Apollo Bay,-38.75044686,143.6658785,540088,318,1185,46027,35626,40,59648,,,
